timestamp,sensor_value,equipment_id,location
2025-01-01 00:00:00,103.54,SENSOR_001,Production Line A
2025-01-01 01:00:00,106.49,SENSOR_001,Production Line A
2025-01-01 02:00:00,111.15,SENSOR_001,Production Line A
2025-01-01 03:00:00,113.14,SENSOR_001,Production Line A
2025-01-01 04:00:00,116.32,SENSOR_001,Production Line A
2025-01-01 05:00:00,117.89,SENSOR_001,Production Line A
2025-01-01 06:00:00,115.6,SENSOR_001,Production Line A
2025-01-01 07:00:00,115.57,SENSOR_001,Production Line A
2025-01-01 08:00:00,113.0,SENSOR_001,Production Line A
2025-01-01 09:00:00,111.5,SENSOR_001,Production Line A
2025-01-01 10:00:00,106.04,SENSOR_001,Production Line A
2025-01-01 11:00:00,105.42,SENSOR_001,Production Line A
2025-01-01 12:00:00,102.89,SENSOR_001,Production Line A
2025-01-01 13:00:00,103.02,SENSOR_001,Production Line A
2025-01-01 14:00:00,99.5,SENSOR_001,Production Line A
2025-01-01 15:00:00,101.99,SENSOR_001,Production Line A
2025-01-01 16:00:00,100.37,SENSOR_001,Production Line A
2025-01-01 17:00:00,97.4,SENSOR_001,Production Line A
2025-01-01 18:00:00,97.11,SENSOR_001,Production Line A
2025-01-01 19:00:00,97.91,SENSOR_001,Production Line A
2025-01-01 20:00:00,96.4,SENSOR_001,Production Line A
2025-01-01 21:00:00,98.05,SENSOR_001,Production Line A
2025-01-01 22:00:00,98.37,SENSOR_001,Production Line A
2025-01-01 23:00:00,101.98,SENSOR_001,Production Line A
2025-01-02 00:00:00,104.93,SENSOR_001,Production Line A
2025-01-02 01:00:00,105.53,SENSOR_001,Production Line A
2025-01-02 02:00:00,106.96,SENSOR_001,Production Line A
2025-01-02 03:00:00,,SENSOR_001,Production Line A
2025-01-02 04:00:00,111.6,SENSOR_001,Production Line A
2025-01-02 05:00:00,114.69,SENSOR_001,Production Line A
2025-01-02 06:00:00,110.15,SENSOR_001,Production Line A
2025-01-02 07:00:00,111.9,SENSOR_001,Production Line A
2025-01-02 08:00:00,113.2,SENSOR_001,Production Line A
2025-01-02 09:00:00,107.02,SENSOR_001,Production Line A
2025-01-02 10:00:00,110.5,SENSOR_001,Production Line A
2025-01-02 11:00:00,103.79,SENSOR_001,Production Line A
2025-01-02 12:00:00,104.23,SENSOR_001,Production Line A
2025-01-02 13:00:00,100.49,SENSOR_001,Production Line A
2025-01-02 14:00:00,98.64,SENSOR_001,Production Line A
2025-01-02 15:00:00,93.45,SENSOR_001,Production Line A
2025-01-02 16:00:00,94.55,SENSOR_001,Production Line A
2025-01-02 17:00:00,92.61,SENSOR_001,Production Line A
2025-01-02 18:00:00,95.41,SENSOR_001,Production Line A
2025-01-02 19:00:00,92.29,SENSOR_001,Production Line A
2025-01-02 20:00:00,94.37,SENSOR_001,Production Line A
2025-01-02 21:00:00,95.42,SENSOR_001,Production Line A
2025-01-02 22:00:00,98.87,SENSOR_001,Production Line A
2025-01-02 23:00:00,102.92,SENSOR_001,Production Line A
2025-01-03 00:00:00,98.82,SENSOR_001,Production Line A
2025-01-03 01:00:00,102.29,SENSOR_001,Production Line A
2025-01-03 02:00:00,101.77,SENSOR_001,Production Line A
2025-01-03 03:00:00,106.06,SENSOR_001,Production Line A
2025-01-03 04:00:00,105.1,SENSOR_001,Production Line A
2025-01-03 05:00:00,106.76,SENSOR_001,Production Line A
2025-01-03 06:00:00,111.4,SENSOR_001,Production Line A
2025-01-03 07:00:00,108.43,SENSOR_001,Production Line A
2025-01-03 08:00:00,106.34,SENSOR_001,Production Line A
2025-01-03 09:00:00,106.07,SENSOR_001,Production Line A
2025-01-03 10:00:00,101.2,SENSOR_001,Production Line A
2025-01-03 11:00:00,105.05,SENSOR_001,Production Line A
2025-01-03 12:00:00,98.05,SENSOR_001,Production Line A
2025-01-03 13:00:00,96.97,SENSOR_001,Production Line A
2025-01-03 14:00:00,93.53,SENSOR_001,Production Line A
2025-01-03 15:00:00,91.89,SENSOR_001,Production Line A
2025-01-03 16:00:00,88.42,SENSOR_001,Production Line A
2025-01-03 17:00:00,88.82,SENSOR_001,Production Line A
2025-01-03 18:00:00,90.49,SENSOR_001,Production Line A
2025-01-03 19:00:00,88.24,SENSOR_001,Production Line A
2025-01-03 20:00:00,90.26,SENSOR_001,Production Line A
2025-01-03 21:00:00,95.77,SENSOR_001,Production Line A
2025-01-03 22:00:00,94.39,SENSOR_001,Production Line A
2025-01-03 23:00:00,94.9,SENSOR_001,Production Line A
2025-01-04 00:00:00,98.87,SENSOR_001,Production Line A
2025-01-04 01:00:00,100.88,SENSOR_001,Production Line A
2025-01-04 02:00:00,103.36,SENSOR_001,Production Line A
2025-01-04 03:00:00,104.28,SENSOR_001,Production Line A
2025-01-04 04:00:00,105.8,SENSOR_001,Production Line A
2025-01-04 05:00:00,109.1,SENSOR_001,Production Line A
2025-01-04 06:00:00,106.19,SENSOR_001,Production Line A
2025-01-04 07:00:00,108.39,SENSOR_001,Production Line A
2025-01-04 08:00:00,106.0,SENSOR_001,Production Line A
