batch_id,line,shift,operator,temperature_c,pressure_bar,humidity_pct,line_speed_mpm,equipment_age_years,yield_pct
B0001,L1,day,Eve,195.93559171742322,2.927910909081286,48.44414308471128,11.799165029119628,4.303677172089712,85.86799553388755
B0002,L1,day,Eve,171.27645674209026,2.994633197126725,52.53691285194704,10.121865551210094,11.427481305595824,82.7632008453581
B0003,L2,day,Alice,218.37478352285677,2.84306097344534,59.059026453662945,8.683526102793738,6.62397755555906,85.08440708490012
B0004,L2,day,Eve,169.62994206674833,3.1541972538448757,42.683179611796106,8.693676579503501,7.3609764244262355,84.93192315636587
B0005,L3,night,Carol,209.925725807431,2.916904639037375,57.542746408077775,9.79276068700059,3.1505000438464776,84.82815872009549
B0006,L2,day,Eve,188.77761598337557,2.972037973798602,51.01777472622932,10.9233107428276,5.218909272824227,85.35808753429039
B0007,L1,day,Bob,202.3319358970847,2.849225968878436,45.88917919100071,8.53661416283899,7.885957935285467,86.7738704534323
B0008,L1,day,Alice,160.75081040786134,2.9224365849362455,45.9107976429882,10.637707694864018,8.980662971210098,80.4537471036588
B0009,L2,night,Alice,180.29646715234352,2.8462831711073706,53.67886043900404,9.12130955838503,8.083024185872144,85.98616728755728
B0010,L3,night,Eve,201.69544975246,2.8470230401265795,53.40459358901833,9.619228249008286,4.733502096292547,85.81669309642717
B0011,L3,day,Bob,164.7514970366737,2.8814743565740977,44.34485446061881,11.279141277476027,10.032031454619236,81.34822666066022
B0012,L1,night,Bob,189.9245643316379,2.961748631553306,51.31831599842182,11.755649670556304,7.173440509534205,84.84135290712804
B0013,L1,day,Bob,199.44453324340057,2.860749115187778,45.945375500967984,10.601695367924219,10.277607333466586,85.85897687665162
B0014,L3,night,Alice,180.15495234538005,3.0221591762997573,48.818129454359244,10.237753676179196,5.670629964556302,86.47243511038684
B0015,L1,night,Eve,191.13241329757352,2.834084527922471,58.341456135867425,8.827604995800668,11.682849532014243,86.51052743494
B0016,L1,night,Alice,166.05399736960334,3.1188072849990607,59.47777998309053,9.654755665581304,10.234986183191708,82.9695507101539
B0017,L2,day,Dave,166.36230229650607,2.8323024648841573,46.897230596158806,9.895796496388561,7.02240596890457,82.46487890322834
B0018,L3,night,Eve,188.38829822636447,2.9225193963406073,42.36699035993284,8.784094310264727,10.412220167817273,83.87894655598811
B0019,L2,night,Dave,201.3396000137503,2.9345399438229154,59.796189598321696,8.254034750671686,11.707900022614837,84.32650044416565
B0020,L3,night,Eve,196.52233715548772,2.983686314120878,53.12835401102952,8.421388298797204,8.057243996209786,83.19574953418731
B0021,L3,night,Carol,172.37255037565262,2.8967842232840346,56.513738048047465,10.027963862362473,7.643913376217988,85.5322866954551
B0022,L3,night,Alice,176.44890236422563,2.9495845873430344,51.67126249067548,9.319435373413612,11.080696468094228,85.14468435225582
B0023,L1,day,Carol,199.8057325485194,2.835443227341361,51.59103208219107,11.875737778213832,7.146213339552767,83.75892279577924
B0024,L1,day,Bob,167.86955837501128,2.9525772982124,45.923226545626044,9.16963573974055,5.778139802459841,82.3227277949837
B0025,L2,day,Alice,181.80689719758462,2.949770998161221,58.8052457702426,10.097888975440267,9.45232087946457,84.2781822542551
B0026,L1,night,Dave,197.93903449517867,2.8367485647494397,55.90146306420214,9.092787500710314,5.4845672090276105,83.16400046755939
B0027,L1,night,Bob,203.5167222843071,3.013761855256214,59.37294449405729,9.668542191318206,7.46540718928194,85.81416963866077
B0028,L1,night,Eve,180.82630621348778,2.9614274587327842,51.5942992436055,10.36809220724864,5.427247178870255,84.26336123866176
B0029,L1,day,Alice,164.26544899203964,2.871110424563556,53.25353122310874,8.454975670368912,2.4798999757402767,83.85838238151533
B0030,L2,night,Dave,164.61949517070167,2.938114556163353,57.30616919494623,8.06703342242361,3.8610277002017517,83.06365937172225
B0031,L1,night,Bob,165.66613058125316,3.0098816498095946,49.99431455580377,9.143577754175412,8.694982531223712,81.77759295711297
B0032,L2,night,Dave,162.6218479357104,3.0264796176428512,48.21373551961042,11.622291760672413,2.1227437855535243,83.57760945842799
B0033,L3,night,Eve,196.09034130772906,3.0395127935839095,40.41991544041876,11.721128358372862,6.572137856626769,85.71097720897991
B0034,L1,day,Dave,170.3802581437211,2.877186767464307,41.52933513495262,8.099822310234126,11.874409449750592,81.8053695604744
B0035,L3,day,Carol,195.4029472366185,2.8350455942428057,44.383974162704824,8.354262834059048,4.510002376990583,84.43700246086203
B0036,L3,night,Carol,208.0524219264587,2.8224344920791773,43.779216084886855,9.639042629728412,6.496725185955377,83.46886143971084
B0037,L2,night,Alice,201.09572034104627,3.192693279112535,51.58477307707572,11.265131152507394,6.796245724647806,84.5697382738262
B0038,L2,night,Alice,167.45449048287432,3.1570069786171855,58.20390114839948,10.999290208040552,2.869764080807588,82.9278056985395
B0039,L2,night,Dave,169.0807834050069,2.8456973627397573,57.42201405286962,10.562693227579576,5.003177313651561,84.9974507712438
B0040,L3,night,Carol,194.76349484998974,2.8567274597983165,48.16693717547573,10.753438759005345,2.2402765463157097,83.51932512108341
B0041,L1,day,Bob,202.2101793326878,2.95193106458869,44.33011698521091,8.672063167805675,4.163407289432362,83.85131930244329
B0042,L3,night,Carol,161.0015694873267,2.970756375734936,58.809221425906614,9.900627438289641,4.154182854371127,83.7367516095914
B0043,L2,day,Dave,162.66239786308878,2.988461732704889,41.28978740639067,10.42062478019556,5.498007924198846,84.98720991416893
B0044,L3,day,Eve,200.2143639550498,2.978446798189328,52.21185439356523,9.043148620178327,8.525046492684378,86.76441268249614
B0045,L1,day,Carol,183.00456904721653,3.098252443632957,41.850808576318755,11.042595830185663,6.211348023880389,86.84482231723155
B0046,L1,night,Alice,196.39004073294106,3.0328056713298133,45.318289720309274,11.914230548041406,6.70492267688028,85.70677945980401
B0047,L3,night,Carol,184.16901181989107,3.1076701717865456,59.43901863540462,9.088764083830752,2.8348080817570516,84.45850583381414
B0048,L1,night,Carol,173.91396666294747,3.187942518771158,52.94445174668166,10.642319318026356,4.013978604496728,84.08360478041078
B0049,L2,night,Alice,195.99119139639768,3.053729357017427,50.19499309909253,10.943823753260256,2.2452695006892522,83.53158881818695
B0050,L3,day,Bob,164.37168899041532,3.165039055079403,56.91070301121015,9.547277606064913,2.488510212543839,85.387592666369
